id,parcela,placa,familia,especie,especie_sem_autor,nome_comum,habito,ameaca_flora_brasileira,endemismo,cap,ht,coord_x,coord_y
642,42,3156,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,29,13,729918.5459266,6959836.61333241
643,42,3155,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,27,13,729918.5459266,6959836.61333241
644,42,3157,Clusiaceae,Clusia criuva Cambess.,Clusia criuva,Criúva,Arbusto; Árvore,LC,é endêmica do Brasil,52,13,729918.5459266,6959836.61333241
645,42,3161,LAURACEAE,Ocotea pulchella (Nees & Mart.) Mez,Ocotea pulchella,Canela-lageana,árvore,LC,não é endêmica do Brasil,14,6,729918.5459266,6959836.61333241
646,42,3151,MYRTACEAE,Psidium cattleianum Sabine,Psidium cattleianum,Araçá,árvore,NE,é endêmica do Brasil,10,8,729918.5459266,6959836.61333241
647,42,3149,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,26.5,13,729918.5459266,6959836.61333241
648,42,3148,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,27,12,729918.5459266,6959836.61333241
649,42,3150,MYRTACEAE,Psidium cattleianum Sabine,Psidium cattleianum,Araçá,árvore,NE,é endêmica do Brasil,27,10,729918.5459266,6959836.61333241
650,42,3152,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,18,9,729918.5459266,6959836.61333241
651,42,3153,Clusiaceae,Clusia criuva Cambess.,Clusia criuva,Criúva,Arbusto; Árvore,LC,é endêmica do Brasil,31,14,729918.5459266,6959836.61333241
652,42,3147,BIGNONIACEAE,Jacaranda puberula Cham.,Jacaranda puberula,Caroba,Árvore,LC,é endêmica do Brasil,14,7,729918.5459266,6959836.61333241
653,42,3146,Clusiaceae,Clusia criuva Cambess.,Clusia criuva,Criúva,Arbusto; Árvore,LC,é endêmica do Brasil,22,11,729918.5459266,6959836.61333241
654,42,3145,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,28,12,729918.5459266,6959836.61333241
655,42,3141,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,19,7,729918.5459266,6959836.61333241
656,42,3140,MYRTACEAE,Myrceugenia euosma (O.Berg) D.Legrand,Myrceugenia euosma,Guamirim,Árvore,NE,é endêmica do Brasil,22,13,729918.5459266,6959836.61333241
657,42,3142,BIGNONIACEAE,Jacaranda puberula Cham.,Jacaranda puberula,Caroba,Árvore,LC,é endêmica do Brasil,19,8,729918.5459266,6959836.61333241
658,42,3143,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Pera glabrata,Tabocuva,Árvore,NE,não é endêmica do Brasil,13,7,729918.5459266,6959836.61333241
659,42,3144,MYRTACEAE,Eugenia uniflora L.,Eugenia uniflora,Pitangueira,Árvore,NE,não é endêmica do Brasil,25,5,729918.5459266,6959836.61333241
